ds,conso_nat_realisee,conso_nat_realisee_scaled
2014-01-15 00:00:00,69280,1.289917754631545
2014-01-15 01:00:00,64586,0.8933870371144765
2014-01-15 02:00:00,63533,0.8044337253237921
2014-01-15 03:00:00,61433,0.6270339582198629
2014-01-15 04:00:00,59464,0.4607005575400359
2014-01-15 05:00:00,60108,0.5151031527852409
2014-01-15 06:00:00,63911,0.8363656834024993
2014-01-15 07:00:00,70983,1.4337805181448742
2014-01-15 08:00:00,76234,1.8773644119842705
2014-01-15 09:00:00,77070,1.947986414507549
2014-01-15 10:00:00,77221,1.9607423025231172
2014-01-15 11:00:00,76965,1.9391164261523526
2014-01-15 12:00:00,77479,1.9825371310530284
2014-01-15 13:00:00,76975,1.9399611869480855
2014-01-15 14:00:00,75422,1.8087698353707513
2014-01-15 15:00:00,73422,1.639817676224152
2014-01-15 16:00:00,72179,1.5348139093145405
2014-01-15 17:00:00,72028,1.5220580212989723
2014-01-15 18:00:00,75942,1.852697396748867
2014-01-15 19:00:00,79005,2.111447628481884
2014-01-15 20:00:00,75684,1.8309025682189557
2014-01-15 21:00:00,70826,1.4205177736518662
2014-01-15 22:00:00,66661,1.0686749022290734
2014-01-15 23:00:00,68791,1.2486089517202015
2014-01-16 00:00:00,67518,1.141070902423391
2014-01-16 01:00:00,63052,0.7638007310490349
2014-01-16 02:00:00,62054,0.6794936036348819
2014-01-16 03:00:00,59624,0.47421673027176386
2014-01-16 04:00:00,57283,0.27645822799066944
2014-01-16 05:00:00,57399,0.2862574532211722
2014-01-16 06:00:00,61080,0.5972139021304881
2014-01-16 07:00:00,68603,1.2327274487604212
2014-01-16 08:00:00,73781,1.6701445887909665
2014-01-16 09:00:00,73851,1.6760579143610974
2014-01-16 10:00:00,74461,1.7275883229008102
2014-01-16 11:00:00,74590,1.738485737165766
2014-01-16 12:00:00,75091,1.780808253031989
2014-01-16 13:00:00,74141,1.7005559774373544
2014-01-16 14:00:00,72641,1.573841858077405
2014-01-16 15:00:00,70997,1.4349631832589005
2014-01-16 16:00:00,69803,1.3340987442483807
2014-01-16 17:00:00,69770,1.3313110336224618
2014-01-16 18:00:00,74000,1.688644850217519
2014-01-16 19:00:00,77595,1.9923363562835312
2014-01-16 20:00:00,74005,1.6890672306153856
2014-01-16 21:00:00,69637,1.3200757150392128
2014-01-16 22:00:00,65606,0.9795526382792421
2014-01-16 23:00:00,68197,1.1984301604536616
2014-01-17 00:00:00,66937,1.091990300191304
2014-01-17 01:00:00,62281,0.6986696736980209
2014-01-17 02:00:00,61463,0.6295682406070618
2014-01-17 03:00:00,59357,0.45166161702569285
2014-01-17 04:00:00,57349,0.2820336492425072
2014-01-17 05:00:00,57610,0.3040819060111384
2014-01-17 06:00:00,61539,0.6359884226546326
2014-01-17 07:00:00,69152,1.2791048164461627
2014-01-17 08:00:00,74815,1.7574928550697584
2014-01-17 09:00:00,74495,1.7304605096063024
2014-01-17 10:00:00,74235,1.7084967289172446
2014-01-17 11:00:00,73502,1.646575762590016
2014-01-17 12:00:00,73074,1.6104200005326437
2014-01-17 13:00:00,71893,1.510653750556577
2014-01-17 14:00:00,69351,1.2959155562812492
2014-01-17 15:00:00,66968,1.0946090586580763
2014-01-17 16:00:00,65169,0.9426365915057102
2014-01-17 17:00:00,64922,0.9217709998511052
2014-01-17 18:00:00,70256,1.3723664082950855
2014-01-17 19:00:00,73755,1.6679482107220607
2014-01-17 20:00:00,71273,1.4582785812211312
2014-01-17 21:00:00,67222,1.1160659828696944
2014-01-17 22:00:00,64474,0.883925716202267
2014-01-17 23:00:00,67468,1.136847098444726
2014-01-18 00:00:00,66126,1.023480199657358
2014-01-18 01:00:00,61398,0.6240772954347974
2014-01-18 02:00:00,60035,0.50893639897639
2014-01-18 03:00:00,57388,0.2853282163458659
2014-01-18 04:00:00,54902,0.07532068252664303
2014-01-18 05:00:00,54295,0.02404370222565017
2014-01-18 06:00:00,55601,0.13436946214837947
2014-01-18 07:00:00,58110,0.34631994579778824
2014-01-18 08:00:00,61254,0.6119127399762422
2014-01-18 09:00:00,63199,0.77621871474631
2014-01-18 10:00:00,65427,0.9644314200356215
2014-01-18 11:00:00,65432,0.964853800433488
2014-01-18 12:00:00,66028,1.0152015438591746
2014-01-18 13:00:00,67013,1.0984104822388747
2014-01-18 14:00:00,63687,0.8174430415780802
2014-01-18 15:00:00,61322,0.6176571133872266
2014-01-18 16:00:00,60086,0.5132446790346282
2014-01-18 17:00:00,59810,0.4899292810723976
2014-01-18 18:00:00,64605,0.8949920826263692
2014-01-18 19:00:00,67728,1.1588108791337839
2014-01-18 20:00:00,65928,1.0067539359018447
2014-01-18 21:00:00,62518,0.718690504556893
2014-01-18 22:00:00,60043,0.5096122076129764
2014-01-18 23:00:00,63394,0.7926915502631035
2014-01-19 00:00:00,63475,0.7995341127085407
2014-01-19 01:00:00,59165,0.4354422097476193
2014-01-19 02:00:00,58067,0.34268747437613634
2014-01-19 03:00:00,55115,0.09331408747575586
2014-01-19 04:00:00,52378,-0.1378969423163652
2014-01-19 05:00:00,51150,-0.24163356803237712
2014-01-19 06:00:00,51734,-0.19229953756157014
2014-01-19 07:00:00,52885,-0.0950675699727023
2014-01-19 08:00:00,54477,0.0394183487079907
2014-01-19 09:00:00,56383,0.20042975637469979
2014-01-19 10:00:00,59545,0.46754311998547315
2014-01-19 11:00:00,61439,0.6275408146973026
2014-01-19 12:00:00,62748,0.7381200028587519
2014-01-19 13:00:00,64067,0.849543951815934
2014-01-19 14:00:00,60103,0.5146807723873743
2014-01-19 15:00:00,57588,0.30222343226052584
2014-01-19 16:00:00,55957,0.16444294647647414
2014-01-19 17:00:00,56214,0.18615329892681215
2014-01-19 18:00:00,61303,0.616052067875334
2014-01-19 19:00:00,66079,1.019509823917413
2014-01-19 20:00:00,66085,1.0200166803948527
2014-01-19 21:00:00,63607,0.8106849552122162
2014-01-19 22:00:00,60811,0.5744898367252704
2014-01-19 23:00:00,64167,0.857991559773264
2014-01-20 00:00:00,63329,0.7872006050908389
2014-01-20 01:00:00,59489,0.4628124595293684
2014-01-20 02:00:00,59107,0.4305425971323679
2014-01-20 03:00:00,57181,0.2678416678741929
2014-01-20 04:00:00,55121,0.09382094395319565
2014-01-20 05:00:00,55904,0.15996571425908926
2014-01-20 06:00:00,60514,0.5494004410920005
2014-01-20 07:00:00,68566,1.2296018338162091
2014-01-20 08:00:00,74535,1.7338395527892345
2014-01-20 09:00:00,74980,1.7714314081993527
2014-01-20 10:00:00,75539,1.8186535366808272
2014-01-20 11:00:00,75354,1.8030254619597668
2014-01-20 12:00:00,75789,1.8397725565741523
2014-01-20 13:00:00,75669,1.8296354270253563
2014-01-20 14:00:00,73974,1.6864484721486133
2014-01-20 15:00:00,72120,1.5298298206197158
2014-01-20 16:00:00,70689,1.4089445507503242
2014-01-20 17:00:00,70746,1.413759687286002
2014-01-20 18:00:00,75139,1.7848631048515073
